NM_001142923	Tcf7l2
NM_001142924	Tcf7l2
NM_001142950	Nars
NM_001146268	Pdgfrb
NM_001146275	Iigp1
NM_001146287	Cables1
NM_001146292	Celf4
NM_001146293	Celf4
NM_001146294	Celf4
NM_001146298	Wac
NM_001146299	Sh3rf2
NM_001146708	Fas
NM_001159275	Slc25a2
NM_001159487	Rbp4
NM_001160239_2	Fau
NM_001160252	Cabp2
NM_001160253	Cabp2
NM_001160356	Uqcc3
NM_001160399	Ccdc112
NM_001160404	Galnt1
NM_001161369	Ss18
NM_001161370	Ss18
NM_001161371	Ss18
NM_001161413	Slc3a2
NM_001161420	Vldlr
NM_001161428	Unc93b1
NM_001161483	Nol4
NM_001161620	Mpp7
NM_001162410	Chuk
NM_001162941	Mapre2
NM_001162942	Mapre2
NM_001162946	Pcx
NM_001162989	Phax
NM_001163004	Pkd2l2
NM_001163013	Ythdc2
NM_001163144	Pcsk5
NM_001163267	Cfap58
NM_001163431	Tmem258
NM_001163471	Hectd2
NM_001163480	Neurl1a
NM_001163495	Arhgap19
NM_001163505	Atl3
NM_001163609	Psma8
NM_001163635	Tnks2
NM_001163637	Jakmip2
NM_001164057	Pola2
NM_001164099	Add3
NM_001164100	Add3
NM_001164101	Add3
NM_001164109	Nfatc1
NM_001164110	Nfatc1
NM_001164111	Nfatc1
NM_001164112	Nfatc1
NM_001164159	Ppp6r3
NM_001164167	Pias2
NM_001164168	Pias2
NM_001164169	Pias2
NM_001164170	Pias2
NM_001164202	Gm8369
NM_001164263	Plekhs1
NM_001164272	Cpsf7
NM_001164290	Cuedc2
NM_001164291	Cuedc2
NM_001164292	Cuedc2
NM_001164293	Cuedc2
NM_001164294	Cuedc2
NM_001164295	Cuedc2
NM_001164311	Loxl4
NM_001164336	Marchf5
NM_001164337	Marchf5
NM_001164352	Efemp2
NM_001164355	Ska1
NM_001164359	Erlin1
NM_001164360	Erlin1
NM_001164362	Cep55
NM_001164363	Nt5c2
NM_001164365	Nt5c2
NM_001164367	Rab11fip2
NM_001164406	Sra1
NM_001164420	Slc66a2
NM_001164421	Slc66a2
NM_001164422	Slc66a2
NM_001164423	Slc66a2
NM_001164424	Slc66a2
NM_001164480	Sipa1
NM_001164481	Sipa1
NM_001164482	Sipa1
NM_001164491	Ablim3
NM_001164504	Rnf165
NM_001164531	Zfyve27
NM_001164561	Exosc1
NM_001164568	Sipa1
NM_001164621	Rnf14
NM_001164622	Rnf14
NM_001164634	Slc22a8
NM_001164635	Slc22a8
NM_001164639	Slk
NM_001164709	Syvn1
NM_001164717	Sh3pxd2a
NM_001164724	Il33
NM_001165919	Majin
NM_001166361	Fgf8
NM_001166362	Fgf8
NM_001166363	Fgf8
NM_001166368	Fkbp2
NM_001166370	Trmt112
NM_001166376	Ms4a6c
NM_001166406	Kif20a
NM_001166407	Kif20a
NM_001166414	Rfx3
NM_001167539	Vmn1r238
NM_001167777	Asxl3
NM_001167784	Tcirg1
NM_001167799	Stx5a
NM_001167829	Fam45a
NM_001167831	Spindoc
NM_001167875	Cyp2c50
NM_001167877	Cyp2c50
NM_001167884	Kmt5b
NM_001167885	Kmt5b
NM_001167886	Kmt5b
NM_001167887	Kmt5b
NM_001167888	Kmt5b
NM_001167889	Kmt5b
NM_001167891	Nrg2
NM_001167905	Cyp2c23
NM_001167907	Gm4952
NM_001167925	Minar2
NM_001168423	Spink13
NM_001168488	Men1
NM_001168489	Men1
NM_001168490	Men1
NM_001168491	Pdcd4
NM_001168492	Pdcd4
NM_001168505	Shoc2
NM_001168516	Zdhhc24
NM_001168517	Zdhhc24
NM_001168525	Sgms1
NM_001168526	Sgms1
NM_001170847	Rbm20
NM_001170855	Trim36
NM_001170953	Rnmt
NM_001170959	Pde6c
NM_001170960	Dtwd2
NM_001170966	Wdr33
NM_001170967	Wdr33
NM_001170970	Wdr33
NM_001171010	Slc14a1
NM_001171011	Slc14a1
NM_001172062	Lman1
NM_001172096	Cacul1
NM_001172097	Cacul1
NM_001174074	Celf4
NM_001174154	Gm37013
NM_001177347	1700092M07Rik
NM_001177360	Gpr137
NM_001177361	Gpr137
NM_001177362	Gpr137
NM_001177369	Nfkb2
NM_001177370	Nfkb2
NM_001177438	Aldh3b2
NM_001177464	Zfp516
NM_001177513	Gm7102
NM_001177759	Tnfaip8
NM_001177760	Tnfaip8
NM_001177796	Afap1l2
NM_001177797	Afap1l2
NM_001177798	Taf6l
NM_001177812	Wbp1l
NM_001177813	Wbp1l
NM_001178012	Sfxn3
NM_001178013	Sfxn3
NM_001185164	Vegfb
NM_001190371	Ankrd29
NM_001190373	Kcng2
NM_001190436	Fau
NM_001190483	Pcsk5
NM_001195265	Pdzd7
NM_001195338	Bbip1
NM_001195348	Bbip1
NM_001195633	Epg5
NM_001198984	Tcof1
NM_001198985	Tjp2
NM_001199151	Sncaip
NM_001199153	Sncaip
NM_001199154	Sncaip
NM_001199247	Kat5
NM_001199248	Kat5
NM_001199249	Kat5
NM_001201470	Papss2
NM_001201569	Atp9b
NM_001204914	Reep2
NM_001205234	Nrxn2
NM_001205235	Nrxn2
NM_001205336	Arap3
NM_001205339	Psat1
NM_001205349	Lipk
NM_001242430	Ammecr1l
NM_001243307	Ccdc85b
NM_001251849	Ms4a18
NM_001252481	Smad2
NM_001252489	Osbpl1a
NM_001252490	Osbpl1a
NM_001252491	Osbpl1a
NM_001252492	Osbpl1a
NM_001252493	Osbpl1a
NM_001252495	Rbbp8
NM_001252501	Sorcs1
NM_001252684	Smc5
NM_001252685	Smc5
NM_001253832	Fibp
NM_001253843	Prpf19
NM_001253844	Prpf19
NM_001256515	AI837181
NM_001267717	Nrep
NM_001267796	Igip
NM_001270646	Prob1
NM_001271443	Ndufs8
NM_001271444	Ndufs8
NM_001271486	Rtn3
NM_001271487	Rtn3
NM_001271496	Chka
NM_001271503	Crem
NM_001271504	Crem
NM_001271505	Crem
NM_001271506	Crem
NM_001271544	Slc4a9
NM_001271545	Slc4a9
NM_001271546	Slc4a9
NM_001271547	Slc4a9
NM_001271580	4930426D05Rik
NM_001271614	Fen1
NM_001271615	Fen1
NM_001271716	Mc2r
NM_001271717	Mc2r
NM_001276284	Aip
NM_001276328	Ms4a2
NM_001276329	Ms4a2
NM_001276330	Ms4a2
NM_001276350	Epc1
NM_001276358	Kcnip2
NM_001276398	Ms4a7
NM_001276704	Nxf1
NM_001277100	Add3
NM_001277860	Tmem216
NM_001277861	Tmem216
NM_001278447	Rab18
NM_001281470	Gm10267
NM_001282064	Cyb561a3
NM_001282065	Cyb561a3
NM_001282067	Cyb561a3
NM_001282093	Wac
NM_001285453	Bad
NM_001285457	Gfra1
NM_001285807	Dtna
NM_001285808	Dtna
NM_001285810	Dtna
NM_001285811	Dtna
NM_001285813	Dtna
NM_001285817	Dtna
NM_001286103	Lbhd1
NM_001286181	Lox
NM_001286182	Lox
NM_001286465	Btrc
NM_001286466	Btrc
NM_001286518	Ahnak
NM_001286543	Stx3
NM_001286552	Nrap
NM_001286557	Tesmin
NM_001286558	Tesmin
NM_001286608	Banf1
NM_001286809	Camk2a
NM_001289515	Poli
NM_001289516	Poli
NM_001289526	Tcerg1
NM_001289531	Cndp2
NM_001289591	Sting1
NM_001289592	Sting1
NM_001289602	Psd2
NM_001289606	Brd8
NM_001289607	Brd8
NM_001289643	Scgb3a2
NM_001289644	Scgb3a2
NM_001289648	Stard6
NM_001289649	Stard6
NM_001289650	Stard6
NM_001289654	Fhod3
NM_001289655	Fhod3
NM_001289666	Tmem241
NM_001289667	Tmem241
NM_001289921	Rorb
NM_001290122	Rbm4
NM_001290123	Rbm4
NM_001290124	Rbm4
NM_001290125	Rbm4
NM_001290127	Gm21992
NM_001290128	Gm21992
NM_001290349	Plcb3
NM_001290356	Sorcs1
NM_001290813	Ablim1
NM_001290815	Ablim1
NM_001290816	Ablim1
NM_001290818	Grk2
NM_001290823	Bscl2
NM_001290825	Col17a1
NM_001290826	Cpeb3
NM_001290827	Cpeb3
NM_001290828	Cpeb3
NM_001290829	Cpeb3
NM_001291078	Dpf2
NM_001291080	Drap1
NM_001291455	Dpysl3
NM_001291787	Map4k2
NM_001291804	Dsc1
NM_001291809	Dsc3
NM_001293621	Ganab
NM_001293685	Vti1a
NM_001293686	Vti1a
NM_001301256	Gm38666
NM_001301259	Gm38667
NM_001301372	Mc2r
NM_001302140	Myof
NM_001302218	Tmem138
NM_001302333	Cnih2
NM_001302356	Cbln2
NM_001302380	Cdc37l1
NM_001302382	Cdc37l1
NM_001302443	Cdc37l1
NM_001302479	Acy3
NM_001302480	Acy3
NM_001302481	Acy3
NM_001302482	Acy3
NM_001302798	Rab27b
NM_001302799	Rab27b
NM_001302947	Tle4
NM_001302950	Tle4
NM_001302951	Tle4
NM_001303005	Rnf138
NM_001303011	Rnf138
NM_001303015	Ap3s1
NM_001304721	Entpd1
NM_001305627	Hars2
NM_001305671	Glis3
NM_001305882	Mro
NM_001305980	Diaph1
NM_001305981	Diaph1
NM_001306088	Dnmbp
NM_001308641	Aqp4
NM_001308642	Aqp4
NM_001308643	Aqp4
NM_001308644	Aqp4
NM_001308645	Aqp4
NM_001308646	Aqp4
NM_001308647	Aqp4
NM_001309195	Zfp950
NM_001309216	Zfp950
NM_001310038	Clcf1
NM_001310039	Clcf1
NM_001310331	Ms4a4a
NM_001311063	Ccdc192
NM_001311066	Crem
NM_001311067	Crem
NM_001311070	Smad2
NM_001311071	Mbd2
NM_001311097	Sema6a
NM_001312905	Kcnn2
NM_001313938	Proc
NM_001317363	Dsc2
NM_001317365	Dsc2
NM_001317729	Aqp4
NM_001320231	Exosc1
NM_001320232	Exosc1
NM_001320233	Exosc1
NM_001320554	Rcor2
NM_001322338	Lipo2
NM_001323065	Lipo1
NM_001323251	Gm8978
NM_001323386	Lipo4
NM_001326287	Morf4l1b
NM_001327998	Hspa12a
NM_001329667	Gal
NM_001329935	Habp2
NM_001329936	Habp2
NM_001329989	Rhod
NM_001330506	Poll
NM_001330507	Poll
NM_001331135	Tcf7l2
NM_001331136	Tcf7l2
NM_001331137	Tcf7l2
NM_001331138	Tcf7l2
NM_001331139	Tcf7l2
NM_001331140	Tcf7l2
NM_001331141	Tcf7l2
NM_001331142	Tcf7l2
NM_001331143	Tcf7l2
NM_001331144	Tcf7l2
NM_001331145	Tcf7l2
NM_001331146	Tcf7l2
NM_001331147	Tcf7l2
NM_001331148	Tcf7l2
NM_001331149	Tcf7l2
NM_001331150	Tcf7l2
NM_001346545	Fam111a
NM_001346703	Hps1
NM_001346801	Pprc1
NM_001347420	Mrpl21
NM_001347422	Peli3
NM_001347426	Slc22a29
NM_001347429	Rab3il1
NM_001347430	Rab3il1
NM_001347435	Ms4a13
NM_001347439	Smarca2
NM_001347441	Vldlr
NM_001347442	Htr7
NM_001347447	Ndufb8
NM_001347449	Svil
NM_001347454	Psd
NM_001347459	Ablim1
NM_001347461	Lama3
NM_001347464	Fam45a
NM_001347509	Nol4
NM_001347510	Nol4
NM_001347610	Gypc
NM_001347624	Stard4
NM_001348055	Fech
NM_001348100	Ndst1
NM_001348101	Ndst1
NM_001348102	Ndst1
NM_001348103	Ndst1
NM_001348146	Ndst1
NM_001348159	Cyb5a
NM_001348180	Kank1
NM_001348254	Twnk
NM_001348259	Twnk
NM_001355233	Arl3
NM_001355242	Shoc2
NM_001355262	Ifit2
NM_001355749	Ndfip1
NM_001356285	Gpam
NM_001356574	Lgals12
NM_001356578	Cwf19l1
NM_001356588	Crtac1
NM_001356589	Crtac1
NM_001356604	Batf2
NM_001356620	Ssh3
NM_001356944	Slc25a28
NM_001356947	Dpcd
NM_001356986	Smndc1
NM_001356994	Zfpl1
NM_001356999	Dnajc4
NM_001357000	Dnajc4
NM_001357001	Dnajc4
NM_001357396	Impact
NM_001357421	Mbd1
NM_001357422	Mbd1
NM_001357423	Mbd1
NM_001357444	Ldlrad4
NM_001357447	Zfp24
NM_001357448	Zfp24
NM_001357456	Fam53c
NM_001357457	Fam53c
NM_001357458	Cxxc5
NM_001357459	Cxxc5
NM_001357461	Slc25a46
NM_001357462	Dctn4
NM_001357463	Snx2
NM_001357470	Paip2
NM_001357471	Paip2
NM_001357472	Paip2
NM_001357473	Paip2
NM_001357480	Polr2d
NM_001357492	Armc4
NM_001357498	Csnk1a1
NM_001357499	Csnk1a1
NM_001357500	Csnk1a1
NM_001357506	Zbtb7c
NM_001357512	Apbb3
NM_001357517	Fam170a
NM_001357518	Mppe1
NM_001357523	Cep76
NM_001357531	Haus1
NM_001357532	Haus1
NM_001357533	Haus1
NM_001357554	Sap130
NM_001357555	Sap130
NM_001357563	Spink6
NM_001357564	Spink6
NM_001358256	1810055G02Rik
NM_001358257	1810055G02Rik
NM_001358258	1810055G02Rik
NM_001358271	Fam204a
NM_001358272	Fam204a
NM_001358273	Fam204a
NM_001358301	Brd8dc
NM_001358302	Brd8dc
NM_001358303	BC031181
NM_001358304	BC031181
NM_001358305	BC031181
NM_001358306	BC031181
NM_001358444	Prdx5
NM_001360120	Btrc
NM_001360122	Btrc
NM_001360124	Btrc
NM_001360126	Btrc
NM_001360127	Btrc
NM_001360286	Fkbp2
NM_001360288	Fkbp2
NM_001360297	Htr7
NM_001360298	Htr7
NM_001360300	Htr7
NM_001360318	Htr7
NM_001360336	Ldb1
NM_001360345	Mxi1
NM_001360346	Mxi1
NM_001360347	Mxi1
NM_001360348	Mxi1
NM_001360357	Rfx3
NM_001360358	Rfx3
NM_001360386	Stx3
NM_001360391	Tjp2
NM_001360392	Tjp2
NM_001360393	Sf1
NM_001360403	Papss2
NM_001360429	Ppp6r3
NM_001360430	Ppp6r3
NM_001360431	Vti1a
NM_001360432	Vti1a
NM_001360437	Dclre1a
NM_001360438	Dclre1a
NM_001360439	Dclre1a
NM_001360447	Zfp438
NM_001360457	Sorcs1
NM_001360595	Zdhhc6
NM_001360619	Fam45a
NM_001360620	Fam45a
NM_001360628	Lrrn4cl
NM_001360632	Pcgf6
NM_001360663	Cep55
NM_001360676	Zdhhc16
NM_001360679	Zdhhc16
NM_001360711	Dpp3
NM_001360716	Stambpl1
NM_001360717	Stambpl1
NM_001360718	Stambpl1
NM_001360719	Stambpl1
NM_001360720	Stambpl1
NM_001360725	Il33
NM_001360787	Zfp608
NM_001360803	Ankrd29
NM_001360804	Zfp521
NM_001360807	Rprd1a
NM_001360814	Sil1
NM_001360823	Psma8
NM_001360829	Cul2
NM_001360837	Wdr7
NM_001360860	Mpp7
NM_001360868	Ablim3
NM_001360876	Bin1
NM_001360881	Tcerg1
NM_001360884	Usp14
NM_001360909	Elp2
NM_001360910	Neto1
NM_001360917	Gramd3
NM_001360921	Hars2
NM_001360934	Seh1l
NM_001360935	Tnfaip8
NM_001360936	Mapk4
NM_001360956	Wac
NM_001360973	Mro
NM_001360979	Apc
NM_001360980	Apc
NM_001360981	Zeb1
NM_001360982	Zeb1
NM_001360984	Zfp474
NM_001360989	Slc35a4
NM_001361002	Rnmt
NM_001361003	Rnmt
NM_001361008	Mtpap
NM_001361009	Mtpap
NM_001361051	Zfp532
NM_001361052	Zfp532
NM_001361053	Zfp532
NM_001361073	Arhgap26
NM_001361088	Fbxo38
NM_001361089	Fbxo38
NM_001361090	Fbxo38
NM_001361091	Fbxo38
NM_001361126	Tcf4
NM_001361127	Tcf4
NM_001361128	Tcf4
NM_001361129	Tcf4
NM_001361136	Brd8
NM_001361142	Cbln2
NM_001361143	Cbln2
NM_001361144	Cbln2
NM_001361145	Cbln2
NM_001361188	Trappc8
NM_001361200	Galnt1
NM_001361209	Nr3c1
NM_001361210	Nr3c1
NM_001361211	Nr3c1
NM_001361212	Nr3c1
NM_001361215	Dtna
NM_001361216	Dtna
NM_001361217	Dtna
NM_001361223	Nol4
NM_001361224	Nol4
NM_001361225	Nol4
NM_001361227	Hdhd2
NM_001361264	Rnf14
NM_001361265	Rnf14
NM_001361266	Rnf14
NM_001361267	Rnf14
NM_001361268	Rnf14
NM_001361269	Rnf14
NM_001361503	Aldh1a1
NM_001361504	Aldh1a1
NM_001361505	Aldh1a1
NM_001361506	Aldh1a1
NM_001361921	Scyl1
NM_001361922	Scyl1
NM_001361958	Vps37c
NM_001361959	Vps37c
NM_001361960	Vps37c
NM_001361961	Vps37c
NM_001361962	Vps37c
NM_001361963	Vps37c
NM_001361964	Vps37c
NM_001361971	Lpxn
NM_001361973	Slc25a45
NM_001361974	Slc25a45
NM_001361980	Slc22a27
NM_001362042	Snx32
NM_001362043	Gstp3
NM_001362044	Ubxn1
NM_001362045	Tigd3
NM_001362046	Ap5b1
NM_001362130	Ifit1bl2
NM_001362131	Ermp1
NM_001362275	Celf4
NM_001362276	Celf4
NM_001362277	Celf4
NM_001362278	Celf4
NM_001362279	Celf4
NM_001362280	Celf4
NM_001362281	Celf4
NM_001362282	Celf4
NM_001362283	Celf4
NM_001362284	Celf4
NM_001362285	Celf4
NM_001362286	Celf4
NM_001362288	Celf4
NM_001362289	Celf4
NM_001362290	Celf4
NM_001362291	Celf4
NM_001362292	Celf4
NM_001362293	Celf4
NM_001362294	Celf4
NM_001362295	Celf4
NM_001362297	Celf4
NM_001362299	Celf4
NM_001362300	Celf4
NM_001362301	Celf4
NM_001362302	Celf4
NM_001362303	Celf4
NM_001362304	Celf4
NM_001362308	Celf4
NM_001362309	Celf4
NM_001362310	Celf4
NM_001362311	Celf4
NM_001362313	Celf4
NM_001362315	Celf4
NM_001362316	Celf4
NM_001362322	Celf4
NM_001362323	Celf4
NM_001362324	Celf4
NM_001362325	Celf4
NM_001362326	Celf4
NM_001362327	Celf4
NM_001362328	Celf4
NM_001362329	Celf4
NM_001362330	Celf4
NM_001362331	Celf4
NM_001362332	Celf4
NM_001362334	Celf4
NM_001362335	Celf4
NM_001362336	Celf4
NM_001362337	Celf4
NM_001362365	Gm45871
NM_001362370	Kat5
NM_001362371	Kat5
