motifName	meanDeviationZgrp1_kidney	meanDeviationZgrp2_liver	zDiff	pvalue	padj	negLog10padj	cRank	cRank_rerank
MA0004.1_Arnt	2.4192138276695	-2.45784205659877	4.87705588426827	3.42154361478235e-05	9.61686287844166e-05	4.0169665762759	206	150
MA0006.1_Ahr::Arnt	2.67038316856279	-2.52757857233052	5.19796174089331	6.17431860140185e-08	2.53666280433087e-06	5.59573725920759	166	114
MA0019.1_Ddit3::Cebpa	1.55104882313252	-1.61375574537018	3.1648045685027	0.000186592964056817	0.000363762041040057	3.4391826220041	308	262
MA0025.1_NFIL3	0.0103818520373978	-0.136974815893877	0.147356667931275	0.666454626619902	0.678167361709882	0.168663115428448	571	569
MA0029.1_Mecom	-0.4418785352736	0.319999503427163	-0.761878038700762	0.0333293290239565	0.0376907841892008	1.42376482658596	530	520
MA0030.1_FOXF2	1.18321519092661	-1.08072409402695	2.26393928495356	0.00135383776211958	0.00198448623865124	2.70235190834591	395	362
MA0031.1_FOXD1	0.949431744786603	-0.833946253957931	1.78337799874453	0.00545959333652361	0.00690197498219906	2.16102661924224	457	434
MA0038.1_Gfi1	4.62376454013211	-4.27364572979511	8.89741026992723	1.43767710549608e-06	1.15613200566976e-05	4.93699257589738	72	35
MA0040.1_Foxq1	1.68126057125	-1.4319830590489	3.1132436302989	0.00114357793122536	0.00171982239527138	2.76451640003209	385	346
MA0041.1_Foxd3	2.75202203462481	-2.53802896593827	5.29005100056308	2.21027611676001e-05	6.88037565378519e-05	4.16238784956794	186	130
MA0051.1_IRF2	3.79164186704137	-3.5455085169436	7.33715038398497	8.18921862144223e-07	8.23451588559871e-06	5.08436192829669	65	26
MA0056.1_MZF1	3.00351013838237	-2.9240217027135	5.92753184109587	6.22101408125963e-07	7.06268069225358e-06	5.15103042800156	128	75
MA0057.1_MZF1(var.2)	3.58879720767359	-3.63690997639648	7.22570718407008	4.81393350124852e-07	6.19392777160643e-06	5.2080338633279	68	30
MA0059.1_MAX::MYC	1.38492979233515	-1.58886369081088	2.97379348314603	0.00351400753231844	0.00461957004764522	2.33539844319374	440	413
MA0063.1_Nkx2-5	2.97074366600725	-2.82095000554729	5.79169367155455	4.21936181688393e-05	0.00011206470146678	3.95053116146645	218	163
MA0066.1_PPARG	1.32715974355039	-1.15158297989401	2.47874272344441	0.000872605485746909	0.00135090528408412	2.8693750995654	374	332
MA0067.1_Pax2	0.351580611969099	-0.391363593342083	0.742944205311181	0.0356516154322375	0.0401600882009056	1.39620534205017	532	523
MA0069.1_Pax6	2.71481596721487	-2.62998860764745	5.34480457486232	6.23757118039348e-05	0.000151745954346547	3.81888287869351	238	180
MA0070.1_PBX1	2.46034245085735	-2.11500582770161	4.57534827855896	2.09906520874656e-07	3.7542757991722e-06	5.42547382610495	208	153
MA0071.1_RORA	1.07080476166129	-0.975136743509214	2.0459415051705	0.000379628222411876	0.000666254245994316	3.1763600102265	403	369
MA0072.1_RORA(var.2)	1.39371044729372	-1.22770479811277	2.62141524540649	0.000295745633938081	0.000536792232132128	3.27019377742655	350	311
MA0073.1_RREB1	2.72631493285655	-2.46340637821028	5.18972131106683	1.57229651884033e-05	5.23275225347531e-05	4.28126982660098	173	118
MA0074.1_RXRA::VDR	1.35383057986859	-1.31484025930221	2.6686708391708	3.79398458086754e-06	2.17941739796878e-05	4.66165958651607	349	309
MA0077.1_SOX9	1.41405320314314	-1.35477274975588	2.76882595289902	1.38846845762262e-05	4.98445705484224e-05	4.30238214145022	341	296
MA0078.1_Sox17	1.70519130762939	-1.52587109495045	3.23106240257984	0.00011977116560036	0.000254020164405158	3.59513180722927	301	255
MA0081.1_SPIB	2.97813005276735	-2.80755162160474	5.78568167437209	9.79835042338208e-08	2.83662244756911e-06	5.54719846464439	137	81
MA0084.1_SRY	1.16040534948197	-1.11444405736219	2.27484940684415	0.000378951989712883	0.000666254245994316	3.1763600102265	385	346
MA0087.1_Sox5	2.27498605050176	-2.21527183925222	4.49025788975398	4.21292871477342e-05	0.00011206470146678	3.95053116146645	217	162
MA0089.1_MAFG::NFE2L1	0.0662477442878349	0.0550817847365862	0.0111659595512488	0.998929502022254	0.998929502022254	0.00046516038569529	579	579
MA0091.1_TAL1::TCF3	2.47216640084678	-2.33976820950662	4.8119346103534	2.76357718000373e-06	1.81830816729791e-05	4.74033251054468	194	139
MA0092.1_Hand1::Tcf3	1.59422643214598	-1.50327627297737	3.09750270512336	4.38857497598179e-06	2.37475225335837e-05	4.62438169155979	312	264
MA0101.1_REL	1.65987217124207	-1.55604558265872	3.21591775390079	0.000233272872301092	0.000438522704747833	3.35800791588648	308	262
MA0107.1_RELA	1.08853372206107	-1.00182996410625	2.09036368616732	7.10266092615094e-05	0.000166287473366837	3.77914046546818	398	366
MA0108.2_TBP	2.27576271507075	-2.0269579515992	4.30272066666995	9.53091770974155e-05	0.000214723788091064	3.66811983975377	257	202
MA0109.1_HLTF	-0.713553436552841	0.588483994181595	-1.30203743073444	0.00243117071421535	0.00333565839699215	2.47681843162471	486	466
MA0111.1_Spz1	0.0581849571174234	-0.0749229329224392	0.133107890039863	0.676270797674898	0.686948757638186	0.163075657561955	573	572
MA0115.1_NR1H2::RXRA	-0.132858368599706	0.231078573611377	-0.363936942211083	0.474149884401777	0.488492496563397	0.311142102827786	562	559
MA0116.1_Znf423	0.0281939202095855	0.0711781757381874	-0.0429842555286019	0.859840288844791	0.864318623682524	0.0633261290508172	576	575
MA0119.1_NFIC::TLX1	2.23121644771925	-1.97222320161262	4.20343964933186	0.000178688830594364	0.000351907594946044	3.45357136002595	294	248
MA0125.1_Nobox	2.17726445206927	-2.02816721737305	4.20543166944231	7.11577443103373e-06	3.14506366073933e-05	4.5023705593672	233	173
MA0130.1_ZNF354C	1.20539716521131	-0.967913833989049	2.17331099920036	0.00019143182340964	0.000371943039443563	3.4295235642833	393	359
MA0135.1_Lhx3	3.80221016480614	-3.48406092420512	7.28627108901126	2.93231767308363e-07	4.60731729031458e-06	5.33655187832951	66	28
MA0139.1_CTCF	1.77113704839383	-1.42734425537361	3.19848130376744	0.0234439922238946	0.0272571716819979	1.56451921037321	498	482
MA0142.1_Pou5f1::Sox2	3.20276863599538	-3.05443074591788	6.25719938191326	2.85584452322512e-06	1.85090650540064e-05	4.73261551815368	111	63
MA0149.1_EWSR1-FLI1	3.86592433128742	-3.73987671851757	7.605801049805	5.14641541584449e-07	6.47777070820426e-06	5.18857442865125	54	19
MA0062.2_Gabpa	0.919572562630718	-0.950406848742116	1.86997941137283	0.00794695006493852	0.00976918065307729	2.01014185928727	471	450
MA0138.2_REST	1.71717275907615	-1.55344710767301	3.27061986674916	0.000530324152066734	0.00088744995389202	3.05185612882089	346	304
MA0002.2_RUNX1	0.834519108854157	-0.809107147172051	1.64362625602621	1.60901931587301e-06	1.22581866301378e-05	4.91157377082679	455	432
MA0047.2_Foxa2	2.61268670433216	-2.25135194306304	4.8640386473952	0.000193450313390969	0.00037335910484457	3.42787325337405	300	254
MA0065.2_Pparg::Rxra	2.24478552551237	-1.88162522888334	4.12641075439571	0.00375189861916685	0.00489267860472433	2.31045331168316	444	419
MA0151.1_Arid3a	4.35302262317307	-4.0775336410056	8.43055626417867	7.44788733568648e-08	2.53666280433087e-06	5.59573725920759	32	12
MA0152.1_NFATC2	3.57311738558928	-3.30815557676814	6.88127296235742	5.57676260887024e-07	6.63132279651631e-06	5.17839983118409	81	40
MA0155.1_INSM1	3.00213258713142	-2.97197633996559	5.97410892709701	7.37225714328886e-05	0.00017074147543857	3.76766097000313	250	196
MA0158.1_HOXA5	2.64114312653059	-2.43415815593098	5.07530128246157	2.68590895963591e-07	4.44326082179769e-06	5.35229819269142	173	118
MA0159.1_RARA::RXRA	2.41045880508694	-2.20516803743205	4.61562684251899	3.20485875260718e-06	1.95327707132585e-05	4.70923614789848	205	149
MA0160.1_NR4A2	1.52706820528202	-1.45708058080656	2.98414878608858	0.000141662534551789	0.000286792333935265	3.54243246170057	317	271
MA0163.1_PLAG1	2.23790856265661	-2.15067536931332	4.38858393196993	6.47950244380513e-05	0.000156208533973323	3.80629524346588	240	184
MA0164.1_Nr2e3	2.67626962066812	-2.54600981320795	5.22227943387607	3.08199094016335e-06	1.91878790790815e-05	4.71697302709655	165	112
MA0259.1_ARNT::HIF1A	0.968565380811027	-0.807260863793121	1.77582624460415	0.000121785734303264	0.000255803597568215	3.59209335198779	438	409
MA0146.2_Zfx	0.771540234861708	-0.658695196914296	1.430235431776	0.00440519110936015	0.00566801256071005	2.24656919599673	473	453
MA0519.1_Stat5a::Stat5b	2.21211672437489	-2.09758406850329	4.30970079287818	0.000523988938071734	0.000879390130850823	3.05581841265432	345	302
MA0518.1_Stat4	2.20258098421377	-2.18474779489902	4.38732877911279	0.00117855747578797	0.00176673025937495	2.75282975259138	386	348
MA0517.1_STAT1::STAT2	3.17890651613485	-3.04227920859304	6.22118572472789	6.64374751832776e-05	0.000158955777401313	3.79872368260978	242	187
MA0516.1_SP2	3.08788218401201	-2.97924023717648	6.06712242118849	1.43985208713358e-05	5.07418683148469e-05	4.29463354610344	164	111
MA0515.1_Sox6	4.06736116547749	-3.69200868139347	7.75936984687096	2.63885201353185e-08	2.53666280433087e-06	5.59573725920759	48	18
MA0514.1_Sox3	4.24572722111699	-4.04540811278709	8.29113533390408	1.08512950624932e-07	2.84792546283633e-06	5.54547138143353	37	15
MA0513.1_SMAD2::SMAD3::SMAD4	0.544222950727193	-0.64779778905258	1.19202073977977	0.00675145133372796	0.0084429596592408	2.07350528579618	500	484
MA0509.1_Rfx1	2.10713359674945	-1.97980347381708	4.08693707056653	1.50698760617006e-05	5.1629930412572e-05	4.2870984602996	246	191
MA0507.1_POU2F2	5.02512320890266	-4.60448635556768	9.62960956447033	1.02161708736825e-06	9.10025067055717e-06	5.04094664467447	65	26
MA0506.1_NRF1	1.91468587136367	-1.9136085973092	3.82829446867287	2.17294679553194e-06	1.55325456125061e-05	4.80875736237407	269	220
MA0505.1_Nr5a2	-0.165017001551594	0.160712914516589	-0.325729916068183	0.556091683598896	0.571895354891227	0.242683430911451	563	561
MA0504.1_NR2C2	1.01674788265567	-1.01649036116268	2.03323824381835	0.0259857595061779	0.0299120372844473	1.5241540065186	503	488
MA0503.1_Nkx2-5(var.2)	0.143758814402091	-0.0870085510806795	0.230767365482771	0.55886100019169	0.573724324664874	0.241296736584739	564	562
